Plant_ID,Plant_Type,Leaf_Color,Leaf_Spot_Size,Humidity,Temperature,Disease_Status
PLANT_0156,Wheat,Green,6.11,59.91,27.12,Mild Infection
PLANT_0157,Wheat,Yellow,9.71,78.72,18.63,Healthy
PLANT_0158,Potato,Brown,4.99,74.87,34.33,Healthy
PLANT_0159,Potato,Yellow,7.56,57.14,27.08,Healthy
PLANT_0160,Tomato,Yellow,5.12,70.11,26.89,Healthy
PLANT_0161,Potato,Brown,4.73,50.33,29.99,Healthy
PLANT_0162,Potato,Green,9.83,44.48,20.01,Healthy
PLANT_0163,Corn,Yellow,1.8,88.16,33.51,Healthy
PLANT_0164,Tomato,Brown,7.0,52.66,17.92,Severe Infection
PLANT_0165,Wheat,Brown,9.48,59.61,30.43,Severe Infection
PLANT_0166,Tomato,Yellow,6.25,65.11,29.49,Mild Infection
PLANT_0167,Wheat,Green,7.18,39.96,19.89,Healthy
PLANT_0168,Rice,Brown,3.39,37.55,34.16,Healthy
PLANT_0169,Rice,Green,8.38,82.22,27.37,Severe Infection
PLANT_0170,Corn,Brown,0.48,31.72,25.45,Healthy
PLANT_0171,Potato,Green,9.29,83.32,21.57,Severe Infection
PLANT_0172,Rice,Yellow,0.31,41.86,24.86,Healthy
PLANT_0173,Tomato,Brown,9.7,50.14,27.12,Healthy
PLANT_0174,Potato,Brown,6.26,69.23,25.6,Healthy
PLANT_0175,Corn,Brown,1.1,41.52,22.4,Healthy
PLANT_0176,Rice,Green,3.45,37.19,32.02,Mild Infection
PLANT_0177,Potato,Yellow,3.05,45.91,31.9,Healthy
PLANT_0178,Corn,Brown,5.18,74.68,20.73,Healthy
PLANT_0179,Corn,Green,5.34,73.78,30.86,Mild Infection
PLANT_0180,Corn,Green,0.43,63.64,15.55,Mild Infection
PLANT_0181,Rice,Brown,7.41,51.62,33.93,Healthy
PLANT_0182,Corn,Yellow,9.33,79.54,33.82,Healthy
PLANT_0183,Wheat,Green,5.04,68.24,22.4,Severe Infection
PLANT_0184,Tomato,Yellow,5.54,58.17,34.35,Healthy
PLANT_0185,Corn,Brown,5.24,87.11,25.45,Mild Infection
PLANT_0186,Rice,Brown,6.23,88.29,26.18,Mild Infection
PLANT_0187,Rice,Brown,1.6,44.29,17.8,Healthy
PLANT_0188,Corn,Brown,9.41,39.78,34.45,Mild Infection
PLANT_0189,Potato,Green,2.28,76.61,16.29,Mild Infection
PLANT_0190,Tomato,Brown,4.95,74.46,32.5,Severe Infection
PLANT_0191,Corn,Brown,8.76,76.58,28.34,Healthy
PLANT_0192,Potato,Green,8.9,35.37,24.79,Severe Infection
PLANT_0193,Potato,Green,9.37,35.66,21.3,Healthy
PLANT_0194,Potato,Yellow,9.48,66.35,34.83,Healthy
PLANT_0195,Potato,Brown,0.77,79.48,30.92,Healthy
PLANT_0196,Potato,Green,8.06,50.47,27.38,Severe Infection
PLANT_0197,Wheat,Green,7.12,53.45,26.84,Healthy
PLANT_0198,Potato,Green,0.15,47.31,27.1,Healthy
PLANT_0199,Wheat,Yellow,1.63,81.81,33.82,Healthy
PLANT_0200,Wheat,Yellow,3.34,52.87,22.84,Healthy
PLANT_0201,Corn,Yellow,2.78,56.41,16.16,Severe Infection
PLANT_0202,Potato,Yellow,3.06,59.1,19.25,Healthy
PLANT_0203,Rice,Brown,2.1,66.26,34.52,Healthy
PLANT_0204,Wheat,Yellow,3.1,56.3,18.35,Mild Infection
PLANT_0205,Rice,Green,5.37,31.5,15.6,Healthy
PLANT_0206,Wheat,Brown,2.23,62.38,20.79,Healthy
PLANT_0207,Potato,Brown,9.72,46.1,32.81,Healthy
PLANT_0208,Tomato,Yellow,8.44,58.65,27.67,Healthy
PLANT_0209,Tomato,Yellow,3.93,34.88,34.64,Healthy
PLANT_0210,Tomato,Brown,6.58,67.73,23.83,Healthy
PLANT_0211,Wheat,Green,1.67,31.65,23.04,Mild Infection
PLANT_0212,Tomato,Green,8.14,82.26,22.95,Mild Infection
PLANT_0213,Tomato,Green,9.93,45.19,20.12,Healthy
PLANT_0214,Potato,Brown,5.3,40.69,34.29,Healthy
PLANT_0215,Rice,Green,0.77,82.38,18.77,Healthy
PLANT_0216,Corn,Green,2.63,64.62,28.91,Healthy
PLANT_0217,Tomato,Brown,3.64,53.95,26.73,Mild Infection
PLANT_0218,Corn,Brown,5.46,78.84,16.31,Mild Infection
PLANT_0219,Tomato,Brown,0.25,84.48,25.21,Healthy
PLANT_0220,Rice,Green,2.34,50.32,18.76,Mild Infection
PLANT_0221,Tomato,Brown,1.31,54.15,16.04,Mild Infection
PLANT_0222,Potato,Yellow,9.8,58.07,15.7,Healthy
PLANT_0223,Tomato,Yellow,8.64,44.86,18.57,Healthy
PLANT_0224,Potato,Yellow,1.52,30.51,34.32,Mild Infection
PLANT_0225,Tomato,Green,5.49,73.99,21.85,Healthy
PLANT_0226,Rice,Green,0.1,67.48,30.76,Healthy
PLANT_0227,Corn,Brown,0.13,57.12,24.56,Severe Infection
PLANT_0228,Rice,Yellow,8.87,86.08,17.34,Healthy
PLANT_0229,Rice,Green,4.39,55.21,28.71,Severe Infection
PLANT_0230,Tomato,Yellow,6.58,86.41,27.36,Healthy
PLANT_0231,Corn,Brown,2.28,32.97,23.63,Healthy
PLANT_0232,Wheat,Yellow,3.98,70.05,29.46,Healthy
PLANT_0233,Wheat,Brown,0.2,86.57,28.63,Healthy
PLANT_0234,Wheat,Green,3.79,56.95,30.98,Healthy
PLANT_0235,Tomato,Brown,8.46,37.88,24.08,Severe Infection
PLANT_0236,Corn,Green,9.89,54.03,32.28,Healthy
PLANT_0237,Potato,Brown,4.67,85.38,25.0,Mild Infection
PLANT_0238,Corn,Green,2.48,82.55,18.53,Healthy
PLANT_0239,Rice,Yellow,7.99,49.75,25.89,Healthy
PLANT_0240,Rice,Yellow,2.65,88.89,20.87,Healthy
PLANT_0241,Tomato,Green,3.42,66.67,22.7,Mild Infection
PLANT_0242,Potato,Yellow,3.87,66.96,27.76,Healthy
PLANT_0243,Wheat,Green,7.73,68.85,15.3,Healthy
PLANT_0244,Rice,Yellow,8.4,32.82,16.75,Healthy
PLANT_0245,Potato,Green,5.41,80.23,30.13,Healthy
PLANT_0246,Potato,Yellow,9.02,56.04,33.1,Healthy
PLANT_0247,Wheat,Yellow,6.75,43.97,15.67,Healthy
PLANT_0248,Tomato,Green,2.49,56.31,26.23,Healthy
PLANT_0249,Corn,Yellow,9.63,42.9,27.51,Healthy
PLANT_0250,Wheat,Green,2.13,52.85,27.79,Healthy
PLANT_0251,Corn,Green,8.59,59.44,26.61,Healthy
PLANT_0252,Corn,Brown,7.39,32.33,33.94,Mild Infection
PLANT_0253,Rice,Yellow,1.31,86.43,16.93,Healthy
PLANT_0254,Wheat,Yellow,5.04,35.8,33.17,Severe Infection
PLANT_0255,Tomato,Green,0.64,30.29,23.52,Mild Infection
PLANT_0256,Wheat,Brown,8.74,37.31,28.99,Healthy
PLANT_0257,Wheat,Yellow,7.76,47.21,21.62,Mild Infection
PLANT_0258,Corn,Brown,3.94,67.27,33.72,Healthy
PLANT_0259,Wheat,Yellow,3.58,31.93,31.16,Healthy
PLANT_0260,Corn,Green,0.84,40.3,27.73,Healthy
PLANT_0261,Potato,Yellow,9.03,62.96,23.22,Healthy
PLANT_0262,Wheat,Yellow,5.19,36.22,30.25,Mild Infection
PLANT_0263,Rice,Brown,2.26,71.21,34.36,Mild Infection
PLANT_0264,Potato,Brown,0.91,46.63,21.92,Healthy
PLANT_0265,Tomato,Brown,0.6,49.34,18.94,Healthy
PLANT_0266,Corn,Green,8.51,33.45,27.63,Healthy
PLANT_0267,Tomato,Brown,8.31,47.82,29.16,Healthy
PLANT_0268,Potato,Yellow,9.94,76.13,33.08,Healthy
PLANT_0269,Tomato,Yellow,3.78,45.93,16.82,Healthy
PLANT_0270,Rice,Green,5.1,39.71,24.82,Mild Infection
PLANT_0271,Tomato,Yellow,0.68,45.84,22.62,Healthy
PLANT_0272,Tomato,Yellow,1.08,46.33,31.9,Mild Infection
PLANT_0273,Wheat,Yellow,7.61,44.89,31.75,Mild Infection
PLANT_0274,Rice,Brown,2.62,41.55,29.16,Healthy
PLANT_0275,Potato,Green,5.88,86.58,26.0,Healthy
PLANT_0276,Wheat,Brown,8.18,78.21,25.5,Mild Infection
PLANT_0277,Wheat,Green,7.72,88.45,22.02,Healthy
PLANT_0278,Corn,Yellow,8.55,65.45,27.24,Healthy
PLANT_0279,Tomato,Yellow,1.54,89.12,16.76,Healthy
PLANT_0280,Rice,Green,4.18,69.7,33.17,Healthy
PLANT_0281,Potato,Yellow,4.43,75.82,23.09,Mild Infection
PLANT_0282,Rice,Brown,4.14,45.62,34.66,Healthy
PLANT_0283,Rice,Yellow,9.5,88.74,21.83,Healthy
PLANT_0284,Tomato,Brown,4.31,70.06,30.89,Healthy
PLANT_0285,Wheat,Brown,2.12,47.92,19.75,Mild Infection
PLANT_0286,Wheat,Green,0.86,89.28,27.32,Mild Infection
PLANT_0287,Potato,Yellow,9.11,45.24,34.57,Severe Infection
PLANT_0288,Wheat,Brown,6.11,38.99,21.91,Healthy
PLANT_0289,Tomato,Yellow,3.74,60.39,25.26,Healthy
PLANT_0290,Corn,Yellow,6.29,51.97,33.96,Healthy
PLANT_0291,Rice,Green,3.59,65.66,22.94,Mild Infection
PLANT_0292,Potato,Brown,7.93,65.39,22.76,Healthy
PLANT_0293,Corn,Yellow,2.48,89.54,24.07,Healthy
PLANT_0294,Potato,Green,5.32,45.35,15.22,Healthy
PLANT_0295,Corn,Brown,2.01,81.62,19.32,Severe Infection
PLANT_0296,Rice,Brown,3.71,51.2,24.56,Healthy
PLANT_0297,Rice,Brown,5.17,67.98,26.23,Healthy
PLANT_0298,Wheat,Yellow,4.58,64.19,25.5,Healthy
PLANT_0299,Corn,Green,8.67,51.83,25.18,Mild Infection
PLANT_0300,Wheat,Green,1.83,63.71,18.03,Healthy
PLANT_0301,Corn,Yellow,6.23,47.09,23.54,Mild Infection
PLANT_0302,Potato,Brown,2.64,44.68,17.4,Severe Infection
PLANT_0303,Wheat,Yellow,0.48,30.04,22.47,Healthy
PLANT_0304,Tomato,Brown,9.09,74.14,34.22,Healthy
PLANT_0305,Corn,Green,5.88,35.79,16.82,Healthy
PLANT_0306,Wheat,Brown,4.42,58.15,25.09,Healthy
PLANT_0307,Rice,Brown,4.57,60.61,32.54,Mild Infection
PLANT_0308,Potato,Brown,0.57,63.54,20.81,Healthy
PLANT_0309,Corn,Brown,3.15,42.43,32.33,Healthy
PLANT_0310,Corn,Brown,2.09,81.79,24.83,Healthy
PLANT_0311,Potato,Brown,0.11,32.27,31.94,Healthy
PLANT_0312,Tomato,Brown,7.48,62.61,27.51,Mild Infection
PLANT_0313,Tomato,Brown,1.21,63.37,29.52,Healthy
PLANT_0314,Rice,Green,5.55,62.9,20.64,Severe Infection
PLANT_0315,Tomato,Green,9.28,78.78,15.48,Healthy
PLANT_0316,Tomato,Yellow,2.97,37.26,30.42,Mild Infection
PLANT_0317,Rice,Green,2.21,58.09,28.53,Healthy
PLANT_0318,Wheat,Green,3.19,33.37,22.38,Healthy
PLANT_0319,Corn,Yellow,3.72,56.76,21.14,Healthy
PLANT_0320,Tomato,Yellow,2.68,80.71,22.79,Healthy
PLANT_0321,Corn,Yellow,8.66,56.55,18.4,Healthy
PLANT_0322,Rice,Green,3.16,43.32,15.24,Healthy
PLANT_0323,Corn,Yellow,1.55,86.47,18.55,Healthy
PLANT_0324,Tomato,Brown,4.37,31.68,23.83,Mild Infection
PLANT_0325,Wheat,Green,9.58,79.33,27.31,Healthy
PLANT_0326,Tomato,Brown,4.31,36.03,29.99,Healthy
PLANT_0327,Wheat,Green,2.5,36.49,32.09,Healthy
PLANT_0328,Potato,Green,7.96,82.39,34.98,Healthy
PLANT_0329,Corn,Green,7.42,35.99,30.58,Healthy
PLANT_0330,Corn,Brown,7.86,79.55,20.0,Healthy
PLANT_0331,Rice,Yellow,8.34,65.87,21.31,Healthy
PLANT_0332,Wheat,Green,5.96,54.92,16.12,Mild Infection
PLANT_0333,Tomato,Yellow,2.68,72.17,20.75,Healthy
PLANT_0334,Tomato,Brown,7.17,78.34,16.25,Healthy
PLANT_0335,Rice,Brown,2.63,56.4,27.28,Healthy
PLANT_0336,Tomato,Green,2.97,55.15,15.77,Healthy
PLANT_0337,Rice,Brown,5.86,35.03,29.65,Healthy
PLANT_0338,Wheat,Brown,5.36,86.79,20.87,Healthy
PLANT_0339,Corn,Green,2.77,59.44,24.61,Healthy
PLANT_0340,Potato,Yellow,4.54,56.13,29.88,Healthy
PLANT_0341,Rice,Brown,8.59,86.69,30.74,Severe Infection
PLANT_0342,Corn,Green,6.17,45.03,33.05,Severe Infection
PLANT_0343,Wheat,Brown,4.72,71.19,25.59,Healthy
PLANT_0344,Tomato,Green,0.78,49.55,26.31,Healthy
PLANT_0345,Rice,Brown,6.0,60.64,23.81,Healthy
PLANT_0346,Corn,Green,5.75,57.55,16.7,Healthy
PLANT_0347,Tomato,Green,1.89,34.35,18.21,Mild Infection
PLANT_0348,Rice,Brown,1.85,53.95,19.17,Healthy
PLANT_0349,Wheat,Yellow,4.28,89.75,27.59,Healthy
PLANT_0350,Potato,Yellow,8.77,85.56,27.75,Healthy
PLANT_0351,Potato,Yellow,5.04,89.44,16.65,Mild Infection
PLANT_0352,Tomato,Green,2.63,44.49,23.44,Healthy
PLANT_0353,Rice,Brown,2.76,69.05,20.14,Mild Infection
PLANT_0354,Tomato,Yellow,5.66,78.84,19.51,Healthy
PLANT_0355,Potato,Brown,7.03,78.46,30.83,Healthy
PLANT_0356,Potato,Yellow,1.0,43.83,31.81,Healthy
PLANT_0357,Tomato,Yellow,5.6,72.67,26.47,Healthy
PLANT_0358,Rice,Brown,8.72,48.83,25.15,Healthy
PLANT_0359,Wheat,Yellow,3.04,84.19,19.86,Healthy
PLANT_0360,Rice,Green,0.88,39.39,27.08,Healthy
PLANT_0361,Wheat,Yellow,9.22,74.16,25.93,Healthy
PLANT_0362,Rice,Brown,2.51,44.05,16.2,Severe Infection
PLANT_0363,Potato,Brown,4.94,86.31,22.02,Mild Infection
PLANT_0364,Corn,Brown,6.27,41.39,17.39,Healthy
PLANT_0365,Potato,Yellow,5.55,50.68,21.22,Healthy
PLANT_0366,Rice,Brown,3.99,63.69,26.49,Severe Infection
PLANT_0367,Potato,Brown,8.49,60.42,30.15,Healthy
PLANT_0368,Potato,Green,8.96,82.12,20.73,Severe Infection
PLANT_0369,Tomato,Yellow,1.33,57.59,15.25,Healthy
PLANT_0370,Rice,Brown,4.6,66.59,23.87,Healthy
PLANT_0371,Rice,Green,4.64,78.37,16.01,Healthy
PLANT_0372,Corn,Brown,4.62,48.2,26.76,Healthy
PLANT_0373,Potato,Yellow,7.57,86.99,35.0,Healthy
PLANT_0374,Wheat,Green,8.74,58.27,33.37,Healthy
PLANT_0375,Wheat,Green,7.17,32.31,29.53,Healthy
PLANT_0376,Rice,Green,5.71,73.69,32.2,Severe Infection
PLANT_0377,Potato,Yellow,6.44,30.22,26.53,Healthy
PLANT_0378,Wheat,Yellow,3.61,82.99,27.56,Healthy
PLANT_0379,Rice,Brown,9.62,31.8,25.64,Healthy
PLANT_0380,Potato,Brown,9.95,85.25,28.72,Mild Infection
PLANT_0381,Wheat,Green,3.23,87.9,32.8,Healthy
PLANT_0382,Tomato,Brown,7.87,32.9,32.87,Healthy
PLANT_0383,Corn,Yellow,7.61,56.58,32.31,Mild Infection
PLANT_0384,Tomato,Green,9.51,78.82,31.04,Healthy
PLANT_0385,Corn,Yellow,7.87,54.64,15.82,Healthy
PLANT_0386,Potato,Yellow,7.35,34.22,26.84,Healthy
PLANT_0387,Wheat,Yellow,9.89,60.78,33.94,Healthy
PLANT_0388,Tomato,Brown,5.46,83.52,28.57,Healthy
PLANT_0389,Wheat,Yellow,6.58,82.85,31.47,Severe Infection
PLANT_0390,Rice,Yellow,6.89,57.95,21.61,Healthy
PLANT_0391,Wheat,Yellow,7.51,78.01,34.64,Healthy
PLANT_0392,Wheat,Yellow,2.9,61.18,20.11,Healthy
PLANT_0393,Corn,Brown,8.62,31.34,27.15,Healthy
PLANT_0394,Potato,Brown,3.86,38.39,25.17,Healthy
PLANT_0395,Tomato,Brown,8.76,44.78,33.72,Mild Infection
PLANT_0396,Potato,Green,3.77,75.64,33.21,Healthy
PLANT_0397,Potato,Green,2.74,64.31,30.3,Healthy
PLANT_0398,Tomato,Yellow,9.09,67.19,16.9,Healthy
PLANT_0399,Wheat,Brown,8.91,78.27,28.8,Healthy
PLANT_0400,Potato,Brown,0.19,49.44,25.19,Healthy
PLANT_0401,Potato,Green,1.09,67.63,33.86,Mild Infection
PLANT_0402,Corn,Green,6.05,51.2,23.67,Mild Infection
PLANT_0403,Tomato,Green,2.2,56.71,27.16,Mild Infection
PLANT_0404,Wheat,Green,7.1,32.29,19.22,Healthy
PLANT_0405,Wheat,Green,8.66,82.71,29.9,Healthy
PLANT_0406,Rice,Yellow,1.97,66.73,16.88,Healthy
PLANT_0407,Rice,Green,9.17,88.34,33.42,Healthy
PLANT_0408,Wheat,Green,6.24,61.92,29.36,Healthy
PLANT_0409,Tomato,Green,3.92,33.08,25.03,Healthy
